uuid,company_name,permalink,website,linkedin,facebook,twitter,phone_number,contact_email,short_description,description,locations,location_groups,hq_postal_code,company_type,operating_status,ipo_status,founded_on,exited_on,closed_on,categories,category_groups,num_employees_enum,funding_total,funding_total_usd,equity_funding_total,equity_funding_total_usd,last_funding_total,last_funding_total_usd,last_equity_funding_total,last_equity_funding_total_usd,last_funding_type,last_equity_funding_type,funding_stage,num_funding_rounds,last_funding_at,num_investors,num_lead_investors,investors,investor_type,investor_stage,num_portfolio_organizations,num_investments_funding_rounds,num_lead_investments,num_diversity_spotlight_investments,num_exits,num_exits_ipo,num_founders,founders,diversity_spotlights,num_acquisitions,acquisition_status,acquisition_identifier,acquirer_identifier,acquisition_announced_on,acquisition_price,acquisition_price_usd,acquisition_type,acquisition_terms,went_public_on,delisted_on,ipo_amount_raised,ipo_amount_raised_usd,ipo_valuation,ipo_valuation_usd,stock_symbol,stock_exchange_symbol,rank_org,rank_org_company,rank_org_school,rank_delta_d7,rank_delta_d30,rank_delta_d90,revenue_range,num_contacts,num_private_contacts,contact_job_departments,num_articles,num_event_appearances,num_org_similarities,num_sub_organizations,last_key_employee_change_date,last_layoff_date,semrush_visits_latest_month,semrush_visits_latest_6_months_avg,semrush_visits_mom_pct,semrush_global_rank,semrush_global_rank_mom,semrush_global_rank_mom_pct,semrush_bounce_rate,semrush_bounce_rate_mom_pct,semrush_visit_duration,semrush_visit_duration_mom_pct,semrush_visit_pageviews,semrush_visit_pageview_mom_pct,builtwith_num_technologies_used,siftery_num_products,apptopia_total_apps,apptopia_total_downloads,ipqwery_num_patent_granted,ipqwery_num_trademark_registered,ipqwery_popular_patent_category,ipqwery_popular_trademark_class,aberdeen_site_it_spend,aberdeen_site_it_spend_usd,privco_valuation_range,privco_valuation_timestamp,num_private_notes,private_tags,xrm_deal_stages,num_xrm_deals,num_xrm_accounts,xrm_account_owners,xrm_account_types,program_type,program_application_deadline,program_duration,school_type,school_program,num_enrollments,school_method,num_founder_alumni,num_alumni,hub_tags,job_posting_link_source,growth_insight_confidence,@dropdown
7e87b698-8437-4612-a9bc-62116ee08da5,Rocket Doctor AI,treatment-com,https://www.rocketdoctor.ai,https://www.linkedin.com/company/rocketdoctorai,,,+1 (612) 788-8900,marketing@rocketdoctor.ai,Rocket Doctor AI offers AI-powered healthcare software and services that support virtual patient care across the full clinical journey.,"Rocket Doctor AI offers AI-powered healthcare software and services that support virtual patient care across the full clinical journey. It deploys a “Global Library of Medicine” engine that enables decision support, auto-generated medical summaries, triage, and voice-assistant tools. The company provides a marketplace and platform where physicians can build and manage their own virtual or hybrid practices, handling tasks such as patient matching, history intake, notes, referrals, and integration with connected medical devices. It also delivers medical education and assessment tools to train clinicians and embeds open APIs for partnerships with health systems and insurers.",Vancouver; British Columbia; Canada; North America,,V6C 0A6,for_profit,active,public,2016-01-01,[object Object],,Artificial Intelligence (AI); Health Care; Machine Learning; Mobile Apps,Apps; Artificial Intelligence (AI); Data and Analytics; Health Care; Mobile; Science and Engineering; Software,c_00101_00250,19855496,19855496,15530652,15530652,5200000,3736035,5200000,3736035,post_ipo_equity,post_ipo_equity,ipo,8,2026-01-09,1,1,NIMHD,,,,,,,,,4,Harry Cherniak; John Fraser; Kevin Peterson; William Cherniak,,2,made_acquisitions,,,,,,,,2021-04-19,,,,2,2,[object Object],cse,1589,1264,,-0.9,-2.1,-0.8,r_00001000,8,,management; medical_science,102,,106,,2025-12-08,,1003,966.8333333,-0.3887530562,6614890,925342,0.2048323906,0.4646,0.3403585271,119,-0.4444444444,2.0449,-0.7051009564,3,,1,34,,,,,85877,85877,,,,,,,,,,,,,,,,,,,,,,
5ea0e367-e8d3-4d52-bb82-7745d7deb944,Rocket Doctor AI,mda-b944,MDA Space,https://www.linkedin.com/company/mdaspace/,https://www.facebook.com/MDAspace/,https://x.com/MDA_space,,,"MDA Space is a space technology company that develops geointelligence, space operations, and satellite systems.","MDA Space is an international space mission partner and robotics, satellite systems, and geointelligence pioneer. With a track record of making ambitions come true, MDA enables highly skilled people to continually push boundaries, tackle big challenges, and imagine solutions that inspire and endure to change the world for the better, on the ground and in the stars. 

It was founded in 1969 and is based in Brampton, Canada.",Brampton; Ontario; Canada; North America,Great Lakes,,for_profit,active,public,1969-01-01,[object Object],,Aerospace; Satellite Communication; Space Travel,Hardware; Science and Engineering; Transportation,c_01001_05000,182998753,182998753,3666941,3666941,250000000,179081812,3666941,3666941,post_ipo_debt,post_ipo_equity,ipo,3,2025-12-04,1,1,Canadian Space Agency,,,,,,,,,1,John S. MacDonald,,2,made_acquisitions,,,,,,,,2021-04-07,,,,,,[object Object],tsx,1762,1404,,-0.7,-3,-0.4,r_01000000,453,,engineering; finance; human_resources; information_technology; legal; management; medical_science; operations; pro_services; sales,394,1,132,,2025-09-10,,42071,40386,-0.1773658681,613388,69596,0.1101111934,0.6021,0.1948008665,732,0.4716981132,12.1286,0.5488463152,77,7,1,,,2,,c7,98486249,98486249,,,,,,,,,,,,,,,,,,,,,,
add1ba5e-d9a2-46b0-9d9f-ea8b6c6f4167,Rocket Doctor AI,scope-carbon-corp,QSE Group,https://www.linkedin.com/company/scope-technologies-corp/,,,604-416-1720,info@qse.group,Quantum Secure Encryption Corp. is a cutting-edge technological company that specializes in quantum security.,"QSE Group’s vision is to shape the future of digital security technology by developing new quantum resilience encryption solutions that empower enterprises, government sectors, and personal accounts, protect sensitive data, and foster worldwide confidence in the community.",Vancouver; British Columbia; Canada; North America,,,for_profit,active,public,2022-01-01,[object Object],,Artificial Intelligence (AI); Software; Web Development,Artificial Intelligence (AI); Data and Analytics; Science and Engineering; Software,c_00001_00010,9300000,6602812,8300000,5905536,3000000,2142169,3000000,2142169,post_ipo_equity,post_ipo_equity,ipo,5,2025-10-24,1,1,First Majestic Silver,,,,,,,,,1,Sean Prescott,,2,made_acquisitions,,,,,,,,2022-09-09,,1050000,1050000,,,[object Object],cnsx,2272,1826,,-0.4,5.8,-0.2,r_00001000,,,,115,,133,,2025-09-30,,1023,1215,1.207729469,6556562,-5132902,-0.3539141111,0.7312,-0.6021271729,171,42,2.5034,1.344438522,4,,,,,1,,c28,64890,64890,,,,,,,,,,,,,,,,,,,,,,
abe272f2-0f3e-4767-863c-6a32c2d0b013,Rocket Doctor AI,universal-digital,https://www.universaldigital.io/,https://www.linkedin.com/company/universaldigital/,,https://x.com/MinasMetals,,contact@universaldigital.io,Universal Digital is a digital platform focused on blockchain infrastructure and digital assets.,"Universal Digital is an investment company that focuses on digital assets and blockchain technologies. It offers equity-based exposure to crypto markets, operates BullWave, a SaaS analytics platform for traders, and runs validator nodes on networks, supporting blockchain infrastructure and earning staking rewards.",Vancouver; British Columbia; Canada; North America,,V6E 2Y3,for_profit,active,public,2018-03-07,[object Object],,Asset Management; Blockchain; Digital Signage; Mineral; Mining; Natural Resources,Blockchain and Cryptocurrency; Financial Services; Natural Resources; Other; Sales and Marketing; Sustainability,c_00001_00010,53358780,38128338,3358780,2425528,50000000,35702810,1758780,1275192,post_ipo_debt,post_ipo_equity,ipo,3,2025-10-24,1,1,Helena,,,,,,,,,,,,1,made_acquisitions,,,,,,,,2022-07-08,,,,,,[object Object],cnsx,3528,2900,,2.3,6.7,-1.2,r_00001000,,,,49,,12,,2025-09-24,,355,,-0.8921052632,10959242,14490357,1.369406493,0.8169,0.4503263234,32,-0.75,1.1831,-0.2369324685,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72a13fcb-4eb6-45c2-9849-ea9a433ffac8,Rocket Doctor AI,questcorp-mining,https://questcorpmining.ca,https://www.linkedin.com/company/questcorpmining,https://www.facebook.com/questcorpmininginc,https://x.com/questcorpmining,+1 604-484-3031,info@questcorpmining.ca,Questcorp Mining specializes in acquiring and exploring mineral properties in Canada.,"Questcorp Mining is a natural resource exploration company specializing in the location, exploration, and development of economic precious metals.

The company also specializes in acquiring and investigating other mineral properties in the North Island Copper Property area and British Columbia, Canada.",Vancouver; British Columbia; Canada; North America,,V6C 2T7,for_profit,active,public,2021-01-01,[object Object],,Mining; Natural Resources; Property Management,Natural Resources; Real Estate; Sustainability,c_00011_00050,7850002,5629606,7850002,5629606,3000000,2213893,3000000,2213893,post_ipo_equity,post_ipo_equity,ipo,3,2026-02-10,1,1,Sorbie Bornholm,,,,,,,,,,,,,,,,,,,,,2023-12-11,,500000,500000,,,[object Object],cse,3598,2960,,3.7,9.2,8.2,,,,,35,,,,2026-01-26,,1305,,47.92307692,5896345,-17610450,-0.8492343704,0.482,-0.0036,511,,4.482,0.0036,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed355f75-371c-4a39-802f-6bd63715f99b,Rocket Doctor AI,simply-solventless-concentrates,https://www.simplysolventless.ca,https://www.linkedin.com/company/simply-solventless-concentrates-ltd,,,,info@simplysolventless.ca,Simply Solventless Concentrates specializes in the production of cannabis products.,Simply Solventless Concentrates specializes in the production of cannabis products.,Airdrie; Alberta; Canada; North America,,,for_profit,active,public,2020-01-01,[object Object],,Cannabis; Food and Beverage; Food Processing,Community and Lifestyle; Food and Beverage; Health Care,c_00051_00100,8574846,8574846,4409039,4409039,1000000,1000000,1000000,1000000,post_ipo_equity,post_ipo_equity,ipo,4,2026-01-22,1,1,Plaza Capital,,,,,,,,,1,Jeff Swainson,,3,made_acquisitions,,,,,,,,2023-12-20,,,,,,[object Object],cve,3996,3302,,-1.1,6.9,8.5,r_00010000,,,,40,,12,,2026-01-05,2025-12-31,641,678.6666667,2.421052632,8185669,-6220577,-0.4700069323,0.6583,1.492978208,76,-0.3220338983,1.9314,-0.5732972377,36,,,,,,,,380010,380010,,,,,,,,,,,,,,,,,,,,,,
88c9d6f0-3d28-0be0-4cd1-d0d5f7adcb44,Rocket Doctor AI,gsoft-2,https://workleap.com,https://www.linkedin.com/company/workleaphq,https://www.facebook.com/workleap,https://x.com/WorkleapHQ,514-303-8203,questions@workleap.com,Workleap is the people management platform built for growing SMBs.,"Workleap is the people management platform built for growing SMBs.

Workleap brings engagement, performance management, and compensation into one intelligent, AI-powered system, allowing leaders to make better people decisions, faster.
Our offer is simple: get a clear picture of issues across teams, understand trends and what they mean for your business, and follow through with impactful actions where it matters most.

Enough with the spreadsheets, scattered tools and guesswork. HR deserve tools to focus on leadership, not admin.

We’ve been shaping the future of work since 2006, and we’re just getting started. See, understand, and act, with Workleap.",Montréal; Quebec; Canada; North America,,H3K 1G6,for_profit,active,private,2006-01-01,,,Collaboration; Software,Other; Software,c_00251_00500,125000000,93292563,125000000,93292563,125000000,93292563,125000000,93292563,private_equity,private_equity,private_equity,1,2023-06-06,1,1,La Caisse,,,,,,,,,3,Guillaume Roy; Sébastien Leduc; Simon De Baene,,3,made_acquisitions,,,,,,,,,,,,,,,,4017,3323,,,7,3.2,r_00100000,98,,engineering; human_resources; information_technology; legal; management; operations; product; sales,50,,49,1,2026-02-09,,291320,279913.5,0.1510620812,137598,-13067,-0.0867288355,0.3683,0.05681492109,330,0.4932126697,4.3137,0.06682329665,60,,1,,,,,,7715791,7715791,,,,,,,,,,,,,,,,,,,,,,
d554bf26-4de7-4c2d-9787-cfda1d600c27,Rocket Doctor AI,stardust-solar-technologies-inc,http://www.stardustsolar.com,https://www.linkedin.com/company/stardustsolar/,,,1-888-620-6733,,Stardust Solar Energy is a solar energy franchisor that offers NABCEP/CSA certified training.,"Stardust Solar Energy is a solar energy franchisor that offers NABCEP/CSA certified training. Founded in 2017 and is based in Burnaby , British Columbia.",Burnaby; British Columbia; Canada; North America,,,for_profit,active,public,2017-01-01,[object Object],,Renewable Energy; Semiconductor; Solar,Energy; Hardware; Natural Resources; Science and Engineering; Sustainability,c_00011_00050,4085860,2933266,2585860,1833324,1500000,1099942,1000000,711567,post_ipo_debt,post_ipo_equity,ipo,4,2026-02-02,1,1,Plaza Capital,,,,,,,,,1,Mark Tadros,,1,made_acquisitions,,,,,,,,2024-10-25,,,,,,[object Object],fra,4069,3370,,-0.6,6.9,1.6,r_00001000,1,,management,51,,,,2025-07-02,,1756,7339.666667,-0.6346776103,5181549,1488255,0.9543534273,0.529,-0.1884974093,342,-0.7270194986,1.877,0.275955132,31,,,,,2,,c35,103320,103320,,,,,,,,,,,,,,,,,,,,,,
11e04ca1-b79d-7082-a756-00b29f8ec885,Rocket Doctor AI,bombardier-inc,http://www.bombardier.com/en,https://www.linkedin.com/company/bombardier_inc,https://fr-fr.facebook.com/pages/Bombardier-Inc/134302379926148,https://x.com/bombardier,,vnmstheegreat@gmail.com,Bombardier goal is to continuously find better ways to bridge distances and bring people together.,"As the world’s largest manufacturer of planes and trains, Bombardier has built an extensive and diverse portfolio of winning mobility solutions. Everywhere people travel by land and in the air, a Bombardier product is ready to transport them. From category-defining business jets and commercial aircraft designed for the challenges of today, to sleek high speed trains and public transit that’s smarter than ever. 

But it’s not just their products and services that make them a global leader. The most important success factor is their employees, all 74,000 of them. Together they’re focused on making mobility more efficient, sustainable and inviting than ever before. They call it The Evolution of Mobility. 

Bombardier is headquartered in Montréal, Canada. Their shares are traded on the Toronto Stock Exchange (BBD) and we are listed on the Dow Jones Sustainability World and North America indexes. In the fiscal year ended December 31, 2014, we posted revenues of $20.1 billion. 

With more than 34,100 employees and a leadership position in global markets, Bombardier Aerospace designs, manufactures and supports innovative aviation products for the business, commercial, specialized and amphibious aircraft markets. 

With 63 production and engineering sites in 26 countries and 18 service centres across the world, Bombardier Transportation is the global leader in the rail industry. They cover the full spectrum of rail solutions, ranging from complete trains to sub-systems, maintenance services, system integration and signalling. Their installed base of rolling stock exceeds 100,000 rail cars and locomotives worldwide. Their 39,700 employees continue a proud tradition of delivering ingenious rail transportation solutions.",Montréal; Quebec; Canada; North America,,H3B 1Y8,for_profit,active,public,1942-01-01,[object Object],,Aerospace; Automotive; Manufacturing; Transportation,Manufacturing; Science and Engineering; Transportation,c_10001_max,2550000000,2550000000,,,250000000,250000000,,,post_ipo_debt,post_ipo_equity,ipo,6,2025-09-04,1,1,La Caisse,,,2,2,,,,,1,Joseph Bombardier,,4,made_acquisitions,,,,,,,,1999-04-09,,,,,,[object Object],tsx,4137,3425,,2.2,7.1,7.4,r_01000000,25,,engineering; finance; management; operations,1089,6,14,1,2026-01-20,2021-02-11,544471,453915.3333,0.3480975832,82630,-20658,-0.2000038727,0.3925,0.004093118445,454,0.03652968037,4.9006,-0.1945499071,85,31,2,,1224,188,b64,c12,143135724,143135724,,,,,,,,,,,,,,,,,,,,,,
e8aaa9e8-5222-40c8-825f-c53b9537f6e9,Rocket Doctor AI,mich-resources,https://greenbridgemetals.com/,https://www.linkedin.com/company/green-bridge-metals-corporation/,https://www.facebook.com/people/Green-Bridge-Metals-Corporation/61552412803351/,,+1 866-750-3355,investors@greenbridgemetals.com,Green Bridge Metals is a mining company that is principally engaged in the acquisition and exploration of mineral properties.,Green Bridge Metals is a mining company that is principally engaged in the acquisition and exploration of mineral properties.,Vancouver; British Columbia; Canada; North America,,,for_profit,active,public,2018-01-01,[object Object],,Mineral; Service Industry,Natural Resources; Other,c_00011_00050,8393059,8393059,8393059,8393059,4000000,2929002,4000000,2929002,post_ipo_equity,post_ipo_equity,ipo,3,2026-02-03,1,,James Starr,,,,,,,,,,,,,,,,,,,,,2022-11-25,,,,,,[object Object],cse,4290,3556,,-0.4,9.2,9.6,,,,,13,,,,2026-02-03,,418,,0.5531914894,10099662,-1918328,-0.2109278679,0.6316,6.416735029,36,-0.4513274336,2.1053,-0.5809338075,4,,,,,,,,170232,170232,,,,,,,,,,,,,,,,,,,,,,
